"pastweek_1","pastweek_2","pastweek_3","circumstances","source","fw_g","stock_freq_1","stock_hs_1","stock_hs_2","stock_hs_3","stock_hs_4","meal_freq._1","meal_hs_1","meal_hs_2","meal_hs_3","meal_hs_4","snack_freq_1","snack_hs_1","snack_hs_2","snack_hs_3","snack_hs_4","share_freq_1","share_hs_1","share_hs_2","share_hs_3","share_hs_4","comments","id","condition","used_tape","hh_size","time","hs_stock","hs_meal","hs_snack","hs_share"
"5","3","3","","2",25,100,6,7,6,6,100,7,5,3,3,80,5,5,3,1,5,1,1,2,1,"",14,"control",NA,11,2,6.25,4.5,3.5,1.25
"7","7","1","ik was thuis en niet op mijn kamer","2",50,100,7,7,7,7,100,7,7,7,7,100,6,6,6,6,0,1,1,1,1,"er stonden wat tegenstrijdige dingen op het instructiepapier die meegegeven werden: compost is afval maar schillen, etc. niet terwijl je zou denken dat dat compost is. ",12,"control",NA,5,2,7,7,6,1
"7","6","4","","2",832,84,6,5,6,5,100,7,7,7,5,76,3,2,4,3,72,6,6,5,6,"",26,"control",NA,6,2,5.5,6.5,3,5.75
"7","4","6","","2",105,70,5,4,5,5,100,7,7,7,7,62,5,5,5,5,70,4,3,3,3,"",43,"intervention",0,8,2,4.75,7,5,3.25
"5","2","0","Eten dat over was van vrienden weekendje weg door grote hoeveelheid brood. ","2",1076,0,3,5,3,1,64,5,3,2,1,65,5,1,5,3,0,1,1,1,1,"",61,"control",NA,6,2,3,2.75,3.5,1
"5","3","1","een lustrumreis waardoor ik het hele weekend weg was","2",0,31,5,5,6,4,63,5,4,5,5,77,6,6,5,4,1,4,4,4,4,"ik kon de afvalbak niet meer vinden, ik hoop dat iemand hem gewoon in de kast heeft gezet, maar deze week had ik niets weggegooid, vandaar dat ik 0 heb ingevuld",58,"intervention",NA,4,2,5,4.75,5.25,4
"5","4","1","Nee","2",181,82,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,"",56,"intervention",1,5,2,7,7,7,7
"7","2","0","Nee","2",80,64,4,4,4,4,100,6,6,6,6,76,6,5,5,6,100,5,5,5,5,"",59,"intervention",0,4,2,4,6,5.5,5
"5","5","5","nee","2",341,100,7,3,7,5,79,5,5,6,6,100,6,6,6,6,85,4,5,4,5,"",55,"control",NA,2,2,5.5,5.5,6,4.5
"4","2","1","drukke week op uni, dus overdag weinig thuis ","2",79,18,3,2,3,2,62,5,5,4,5,7,2,2,2,3,90,7,6,5,3,"",52,"intervention",0,5,2,2.5,4.75,2.25,5.25
"5","4","0","","2",0,89,7,6,6,7,100,7,7,5,5,100,5,5,5,7,85,5,5,5,5,"",57,"control",NA,7,2,6.5,6,5.5,5
"4","4","4","Nee","1",366,70,6,6,6,6,86,7,6,7,6,62,6,6,6,6,33,3,3,3,3,"",54,"control",NA,5,2,6,6.5,6,3
